DATE,CAPTION,TYPE,RETWEET,REPLIES,LIKES,QUOTES
2022-07-07,"Takwimu za mapato Zanzibar Julai 2022
▶Mapato ya ndani - TZS 790.1 
▶Misaada - TZS 42.2 billion
▶Ukusanyaji wa kodi umeimarika kwa 13.1% ambapo TZS 609.5 zilikusanywa kama kodi, na TZS 138.5 billion mapato yasiyo kodi (non-tax revenue)
#MamaYukoKazini https://t.co/8DSPOJ7e8y",RT,1,0,0,0
2022-07-07,"Fukwe zikiita nawe itika 

#MamaYukoKazini https://t.co/fxWcnSlJRc",POST,0,0,6,0
2022-07-07,"Miezi sita ya mwaka 2022, Tanzania imeuza kiasi kikubwa cha nyama nje ya nchi ikilinganishwa na zilizouzwa mwaka mzima 2021. #MamaYukoKazini https://t.co/cA3LI7d8Zp",RT,19,0,0,0
2022-07-07,"Mwaka mmoja wa Mhe. Rais Samia Suluhu madarakani, Makambako si ile ya zamani. Sasa huduma za afya zimeboresha na zinapatikana karibu na wananchi na wanafunzi wanasomea katika mazingira bora zaidi. #MamaYukoKazini https://t.co/2XhVzqX7BI",RT,23,0,0,0
2022-07-07,"Uuzaji wa nyama nje ya nchi umeongeza kwa 43% kulinganisha na mwaka 2021. Kwani imefikia tan 10,000 ndani ya miezi 6, kutoka tan 7000 kwa mzima 2021
#MamaYukoKazini https://t.co/CBHAnCQD05",RT,6,0,0,0
2022-07-07,"Bajeti ya serikali mwaka huu imeelekeza  katika sekta ya elimu kuwa wanafunzi kidato cha 6 watasoma bure

Hii inatoa nafasi kwa familia zenye kipato cha chini na kufanya ujumuishi #mamayukokazini #SisiTumekubali https://t.co/HRD4xYjZzl",RT,3,0,0,0
2022-07-07,"Ujenzi wa Daraja la Kigongo - Busisi;

Kutoka chini ya asilimia 20 Machi 2021, hadi asilimia 47.3 Juni 2022, #MamaYukoKazini akiendeleza miradi ya kimkakati.

Litarahisisha usafiri na kusisimua uchumi kati ya mikoa ya Kanda ya Ziwa na nchi jirani za Uganda, Rwanda, Burundi &amp; DRC. https://t.co/Gg2arbfZW3",RT,8,0,0,0
2022-07-07,"Waziri wa Utamaduni, Sanaa na Michezo Mhe. Mohamed Mchengerwa, amesema Serikali inatarajia kujenga viwanja vya michezo ya ndani na sanaa eneo la Kawe, ambapo amesisitiza kuwa utoaji wa tuzo mwaka ujao utafanyika katika kumbi hizo za kisasa. #mamayukokazini #sisitumekubali https://t.co/SSKZMAxIpg",RT,3,0,0,0
2022-07-07,"Kukamilka zahanati Masemele 

Mradi ulioanza kwa nguvu ya wananchi 2013 umekamilika 2022 baada ya kupewa kipaumbele utasaidia kupunguza idadi ya vifo vya mama na mtoto #MamaYukoKazini https://t.co/2mBSreELZM",POST,2,0,0,0
2022-07-07,Katika pita pita zangu Dasalade nikakutana na bango nene linasomeka #MamaYukoKazini https://t.co/QxhJ8KpuPQ,RT,6,0,0,0
2022-07-07,"Ujenzi wa Daraja la Kigongo - Busisi;

Kutoka chini ya asilimia 20 Machi 2021, hadi asilimia 47.3 Juni 2022, #MamaYukoKazini akiendeleza miradi ya kimkakati.

Litarahisisha usafiri na kusisimua uchumi kati ya mikoa ya Kanda ya Ziwa na nchi jirani za Uganda, Rwanda, Burundi &amp; DRC. https://t.co/xz0NqIijXU",RT,16,0,0,0
2022-07-07,"Kiswahili chimbuko lake ni Tanzania, Raisi Samia Suluhu Hassan anasema wanaanzisha mpango mkakati kwa mabalozi wa Tanzania katika nchi mbalimbali kuanzia vituo vya kiswahili vitakavyoendeshwa na wahitimu kutoka vyuo vya Tanzania. Hivo kuleta uwanja mpana wa ajira
#MamaYukoKazini https://t.co/tImdCe2en1",RT,9,0,0,0
2022-07-07,"Bajeti ya serikali mwaka huu imeelekeza  katika sekta ya elimu kuwa wanafunzi kidato cha 6 watasoma bure

Hii inatoa nafasi kwa familia zenye kipato cha chini na kufanya ujumuishi 
@Tawan_V 
#MwanamkeImara #MamaYukoKazini https://t.co/WOMPfQKBwN",POST,8,0,8,0
2022-07-07,"Juu: Machi 4, 1968, Mwl. Nyerere na Rais wa Senegal, Léopold Senghor.

Chini: Julai 6, 2022, Rais Samia na Rais wa Senegal, Macky Sall.

Miaka 54 imepita, uhusiano wa Tanzania na Senegal umeendelea kuimarika. Rais Samia Suluhu anaendeleza mazuri ya waliomtangulia. #MamaYukoKazini https://t.co/ZldLiZWdk7",RT,9,0,0,0
2022-07-07,Lugha ya Kiswahili ni lugha ya 10 kwa kuzungumzwa zaidi duniani ikiwa na wazungumzaji zaidi ya milioni 200. Lugha hii adhimu inafundishwa na kutumika katika nchi nyingi za Afrika na jumuiya za kikanda na kimataifa. Serikali inaendelea kuchukua hatua kuikuza zaidi. #MamaYukoKazini https://t.co/t9tj8TUWCe,RT,5,0,0,0
